"","DateTime","DateTimeAK","julian","MOOS","FRCH","POKE","VAUL","STRT","VAUL.Q.int","FRCH.Q.int","MOOS.Q.int","STRT.Q.int","POKE.Q.int"
"189","2021-05-06 16:00:00",2021-05-06 16:00:00,125.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","2021-05-06 16:15:00",2021-05-06 16:15:00,125.635416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","2021-05-06 16:30:00",2021-05-06 16:30:00,125.645833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","2021-05-06 16:45:00",2021-05-06 16:45:00,125.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","2021-05-06 17:00:00",2021-05-06 17:00:00,125.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","2021-05-06 17:15:00",2021-05-06 17:15:00,125.677083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","2021-05-06 17:30:00",2021-05-06 17:30:00,125.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","2021-05-06 17:45:00",2021-05-06 17:45:00,125.697916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","2021-05-06 18:00:00",2021-05-06 18:00:00,125.708333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","2021-05-06 18:15:00",2021-05-06 18:15:00,125.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","2021-05-06 18:30:00",2021-05-06 18:30:00,125.729166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","2021-05-06 18:45:00",2021-05-06 18:45:00,125.739583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","2021-05-06 19:00:00",2021-05-06 19:00:00,125.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","2021-05-06 19:15:00",2021-05-06 19:15:00,125.760416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","2021-05-06 19:30:00",2021-05-06 19:30:00,125.770833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
